Designator,Mid X,Mid Y,Rotation,Layer
A1,109.3325,-126.7975,90.0,bottom
C1,86.395,-105.35,0.0,bottom
C2,51.395,-43.35,0.0,bottom
C3,126.895,-50.35,0.0,bottom
D1,51.545,-56.3275,90.0,bottom
D10,108.545,-75.425,90.0,bottom
D11,127.795,-84.7725,90.0,bottom
D12,147.32,-84.7725,90.0,bottom
D13,52.07,-94.2975,90.0,bottom
D14,71.12,-94.2975,90.0,bottom
D15,90.17,-89.535,90.0,bottom
D16,108.545,-94.2975,90.0,bottom
D17,128.27,-103.8225,90.0,bottom
D18,147.32,-103.8225,90.0,bottom
D19,75.645,-103.35,0.0,bottom
D2,71.12,-56.1975,90.0,bottom
D20,100.645,-109.35,0.0,bottom
D21,63.645,-45.35,0.0,bottom
D22,42.645,-45.35,0.0,bottom
D23,117.645,-53.35,0.0,bottom
D24,136.645,-53.35,0.0,bottom
D3,90.17,-51.435,90.0,bottom
D4,108.795,-58.675,90.0,bottom
D5,127.545,-65.7225,90.0,bottom
D6,147.32,-65.7225,90.0,bottom
D7,52.07,-75.2475,90.0,bottom
D8,71.12,-75.2475,90.0,bottom
D9,90.17,-70.485,90.0,bottom
SW1,42.545,-57.15,0.0,top
SW10,99.695,-76.2,0.0,top
SW11,118.745,-85.725,0.0,top
SW12,137.795,-85.725,0.0,top
SW13,42.545,-95.25,0.0,top
SW14,61.595,-95.25,0.0,top
SW15,80.645,-90.4875,0.0,top
SW16,99.695,-95.25,0.0,top
SW17,118.745,-104.775,0.0,top
SW18,137.795,-104.775,0.0,top
SW19,37.7825,-119.0625,0.0,top
SW2,61.595,-57.15,0.0,top
SW3,80.645,-52.3875,0.0,top
SW4,99.695,-57.15,0.0,top
SW5,118.745,-66.675,0.0,top
SW6,137.795,-66.675,0.0,top
SW7,42.545,-76.2,0.0,top
SW8,61.595,-76.2,0.0,top
SW9,80.645,-71.4375,0.0,top
U1,64.9,-121.08,0.0,top
U2,43.0325,-135.6875,90.0,top
